character
孔
字
存
孜
孝
孟
季
孫
宅
宇
守
安
宋
完
宏
宗
官
宙
定
宛
宜
客
宣
室
宥
宮
宰
害
宴
宵
家
容
宿
寂
寄
寅
密
富
寒
寓
察
寡
寢
實
寧
審
寮
寵
寸
寺
封
射
將
專
尉
尊
尋
小
少
尖
尚
尤
就
尺
尼
尾
尿
局
居
屈
屋
屑
展
履
屯
山
岐
岡
岩
岳
岸
峨
峰
島
峻
峽
崇
崎
崖
崩
嵩
嶺
川
州
巢
工
左
巧
巫
己
已
巳
巴
巷
巽
巾
市
布
帆
希
帖
帝
帥
師
帳
常
帽
幅
幌
干
平
年
幸
幹
幻
幼
幽
幾
庇
床
序
底
店
庚
府
座
庫
庵
康
庸
廉
廟
廳
弁
弄
式
弓
弔
引
弘
弛
弟
弦
弱
張
強
彈
彌
彗
彙
形
彩
彪
彫
彬
彰
影
役
彼
往
征
待
律
後
徐
徒
得
從
復
循
微
徵
德
心
必
忌
忍
志
忘
忙
忠
快
念
忽
怒
怖
思
怠
急
性
怨
怪
恆
恐
恕
恢
恣
恥
恨
恩
恭
息
恰
悉
悌
悟
悠
患
悲
悼
情
惑
惚
惜
惟
惠
惡
惰
想
惺
愁
愉
意
愚
愛
感
慄
慈
態
慎
慢
慣
慧
慮
慰
慶
憂
憤
憧
憩
憬
憲
憶
憾
懇
應
懷
懸
戊
成
我
戒
或
戚
戟
戰
戲
戴
房
所
扇
扉
手
才
打
托
扶
批
承
技
抄
把
抑
投
抗
折
披
抱
抵
抹
押
抽
拂
拉
拍
拐
拓
拔
拘
拙
招
拜
括
拭
拳
拷
拾
持
指
按
挑
挨
挫
振
捉
捕
捧
捨
捷
捻
掃
授
掌
排
掘
掛
掠
採
探
接
控
推
措
掬
提
揚
換
握
揭
揮
援
損
搖
搬
搾
摑
摘
摩
摯
摺
撒
撞
撫
播
撮
撰
撲
擁
擊
操
擦
擬
攝
支
收
改
攻
放
政
故
救
敗
教
散
敦
整
敵
敷
文
斐
斑
斗
料
斜
斡
斤
斥
斧
斬
斯
新
方
於
施
旅
旋
族
旗
日
旦
旨
早
旬
旭
旺
昂
昆
昌
明
昏
易
昔
星
映
春
昧
昨
昭
是
時
晃
晏
晒
晝
晨
普
景
晴
晶
智
暇
暉
暖
暗
暢
暫
暴
曆
曉
曖
曝
曲
曳
更
書
曹
曾
替
最
月
有
朋
服
朔
朕
望
朝
期
木
未
末
本
札
朱
朴
朽
杉
李
杏
材
村
杖
杜
束
杭
杯
東
杵
杷
松
板
枇
析
枕
林
枚
果
枝
枯
架
柄
柏
某
柑
染
柔
柚
柱
柳
柵
柿
栓
栗
校
株
核
根
格
栽
桂
桃
案
桐
桑
桔
桶
梁
梓
梗
梢
梧
梨
梯
械
棋
棒
棚
棟
森
棲
棺
椅
植
椎
椰
楊
楚
楠
業
極
楷
榛
榮
構
槍
槽
樂
標
樟
樹
樽
橋
橘
橙
機
檀
檜
檢
櫂
櫓
櫻
欠
次
欣
欲
欺
欽
款
歌
止
正
步
武
歷
死
殆
殉
殊
殖
段
殿
毀
毅
母
每
比
毛
氏
民
氣
水
永
氾
汀
汁
求
汐
汗
汝
江
池
汰
決
汽
沃
沈
沌
沖
沙
沫
河
沸
油
治
沼
沿
況
泉
泊
泌
法
泡
波
泣
泥
注
泳
洋
洗
洛
洞
津
洪
洲
活
派
浦
浩
浪
浬
浮
浴
浸
消
涉
涯
液
涼
淋
淑
淚
淡
淨
淫
深
淳
淵
混
添
清
減
渥
測
港
渴
渾
湊
湖
湘
湛
湧
湯
源
準
溜
溝
溢
溫
溶
溺
滅
滋
滴
漁
漂
漆
漏
演
漕
漫
漬
漱
漸
潔
潤
潮
潰
澄
激
濁
濃
濡
濯
瀨
火
灰
灸
灼
災
炊
炎
炭
為
烈
烏
焚
無
焦
焰
然
煌
煎
煙
煤
照
煩
熊
熙
熟
熱
燃
燈
燎
燒
燥
燦
燭
爆
爪
爭
爵
父
爽
爾
片
版
牒
牛
牟
牡
牧
物
牲
特
牽
犀
犬
犯
狀
狂
狙
狩
狹
狼
猛
猶
猿
獄
獅
獸
玄
率
玉
王
玖
玩
玲
珀
珊
珍
珠
班
現
球
理
琥
琳
琴
琵
琶
瑚
瑞
璃
璧
環
璽
甘
甚
生
甥
用
甫
田
由
甲
申
男
界
畏
畔
留
畜
畝
畢
略
番
異
疊
疋
疑
疫
疲
疾
病
症
痕
痘
痛
痢
痴
瘍
療
癒
癖
登
白
百
的
皆
皇
皓
皮
皿
盃
盆
益
盛
盜
盟
盡
盤
目
盲
直
相
盾
省
眉
看
真
眠
眸
眺
眼
睡
督
睦
瞭
瞳
矛
矢
知
短
矯
石
砂
研
砥
砧
破
硝
硬
硯
碎
碗
碧
碩
確
磁
磐
磨
磯
礁
礎
示
票
祭
禁
禽
禾
秀
私
秋
科
秒
租
秤
秦
秩
移
稀
程
稔
稚
稜
稟
種
稻
稼
稿
積
穗
穴
究
穹
空
窄
窒
窟
窪
窮
窯
窺
立
章
竣
童
端
競
竹
竺
竿
笑
笙
笛
笠
符
第
筆
等
筋
筒
答
策
箋
箔
箕
算
管
箱
範
篇
築
篤
簞
簡
簾
簿
籍
籠
米
粉
粒
粗
粟
粥
粹
精
糊
糖
糧
糸
系
糾
紀
約
紅
紋
納
紐
純
紗
紙
紛
素
紡
索
累
細
紳
紹
終
絃
組
絆
結
絞
絡
絢
給
絹
綜
綠
維
綱
網
綴
綸
綺
綻
綾
綿
線
締
緣
編
緩
縛
縣
縮
縱
績
繕
繡
繫
纂
纏
纖
缶
罪
置
罰
罵
罷
羅
羊
美
羚
群
羨
義
羽
翁
翌
習
翔
翠
翻
翼
耀
老
考
而
耐
耕
耗
耳
耶
耽
聖
聞
聽
肇
肉
肋
肌
肖
肘
肝
股
肢
肥
肩
肪
肯
肴
胃
背
胎
胞
胡
胤
胴
胸
能
脂
脅
脈
脊
脹
腐
腔
腕
腫
腰
腸
腹
腺
膏
膚
膝
膨
膳
臆
自
至
臼
舌
舟
航
般
舵
舶
舷
船
良
色
虎
虐
虛
虞
虫
虹
蚊
蛇
蜂
蜜
蝦
蝶
融
螺
蟬
蟹
蠟
血
行
術
街
衝
衡
衣
表
衰
袈
袋
裁
裂
裝
裟
裳
製
褒
襲
西
要
覆
見
規
親
角
解
言
訂
訃
計
訊
討
訓
託
記
訟
訣
訪
設
許
訴
診
註
証
詐
詔
評
詞
詠
詢
詣
試
詩
詫
詮
詰
話
該
詳
誇
誌
認
誓
誘
語
誠
誤
誰
課
誼
調
諄
談
請
諒
論
諦
諧
諭
諮
諺
謀
謂
謄
謙
講
謝
謠
譜
議
讓
谷
豆
豚
象
豪
豹
貌
貝
貞
負
財
貢
貧
貨
販
貪
貫
責
貯
貴
買
貸
費
貼
貿
賀
賂
賃
賄
資
賊
賑
賜
賞
賠
賣
賦
質
賴
購
赤
赦
走
赳
赴
起
超
越
趣
足
跡
跨
路
跳
踏
蹄
躍
身
車
軌
軍
軒
軟
軸
較
載
輔
輝
輩
輪
輯
輸
轄
轉
轟
辛
辣
辰
辱
農
邑
那
邦
邸
郁
郊
郎
郡
部
郭
郵
鄭
酉
酌
配
酒
酪
酬
酵
酷
酸
醇
醉
醒
醜
醬
釀
采
里
重
野
量
金
釘
釜
針
釣
釧
鈍
鈴
鉛
銀
銅
銘
鋒
鋸
鋼
錄
錐
錘
錠
錦
錫
錯
鍊
鍛
鍬
鎖
鎮
鏡
鐘
鑄
長
門
閃
閉
開
閏
閑
間
閣
閤
閥
阜
阪
防
阻
阿
陀
附
限
陛
院
陣
除
陪
陰
陳
陵
陶
陷
陸
陽
隅
隊
階
隔
際
障
險
隻
雀
雁
雄
集
雇
雛
雜
離
雨
雪
雲
零
雷
電
需
震
霜
霞
露
青
靖
靜
非
面
革
靴
鞍
鞘
鞠
鞭
音
韻
頁
頂
頃
項
順
須
頌
預
頑
頒
頓
頗
領
頭
頰
題
額
顎
願
顧
顯
飛
食
飲
養
首
香
馨
馬
馳
馴
駐
駒
駕
駿
騎
騰
驗
高
髮
鬱
鬼
魁
魂
魅
魔
魚
魯
鮮
鯉
鯨
鳥
鳩
鳳
鳴
鳶
鴨
鴻
鵬
鶴
鷗
鷹
鷺
鹿
麒
麓
麗
麻
黎
黑
默
鼎
鼓
鼻
齊
龍
